query_id,query,source_filter,mode,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,relevant_retrieved,latency_ms,top_1_title,top_1_doc_id,top_1_parent_id
slack_01,What happened with the payment webhook transactions?,slack,bm25,1.0,1.0,1.0,1.0,2.9485,5,447.64,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_01,What happened with the payment webhook transactions?,slack,semantic,1.0,1.0,1.0,1.0,2.9485,5,153.02,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_01,What happened with the payment webhook transactions?,slack,hybrid,1.0,1.0,1.0,1.0,2.9485,5,70.32,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_02,Why were some payment transactions dropped?,slack,bm25,1.0,0.8,1.0,1.0,2.5616,4,52.86,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_02,Why were some payment transactions dropped?,slack,semantic,1.0,1.0,1.0,1.0,2.9485,5,54.7,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_02,Why were some payment transactions dropped?,slack,hybrid,1.0,1.0,1.0,1.0,2.9485,5,58.19,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_03,What issue affected the payments service?,slack,bm25,1.0,1.0,1.0,1.0,2.9485,5,54.85,Slack #C0BT92PAGLX,14600f87fa03198eac7a944ee4c972c2,slack:3fe6bacb4050c5ffb645e34addfa23ca
slack_03,What issue affected the payments service?,slack,semantic,1.0,1.0,1.0,1.0,2.9485,5,43.95,Slack #C0BTQE055QA,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6
slack_03,What issue affected the payments service?,slack,hybrid,1.0,1.0,1.0,1.0,2.9485,5,56.61,Slack #C0BTQE055QA,ee5d861d8ea08bd53e719ba29ee9911c,slack:0e092c8b73c78a5d33b9398341d85fce
drive_01,What is the Project Orion implementation plan?,google_drive,bm25,1.0,1.0,1.0,1.0,2.9485,5,63.85,01 Project Orion Implementation Plan,8c9052f6a10d85909ea5f3f19056aa0b,drive:8b951d029006bb4fa10fbcfd958abf6e
drive_01,What is the Project Orion implementation plan?,google_drive,semantic,1.0,0.8,1.0,0.5,1.9485,4,49.3,03 Search Relevance Evaluation Guide,6da996c20f71fc7a181dcc0564128624,drive:9c86650d9fc7bfca942b0ba5ce5b1348
drive_01,What is the Project Orion implementation plan?,google_drive,hybrid,1.0,0.8,1.0,1.0,2.5616,4,46.66,01 Project Orion Implementation Plan,8c9052f6a10d85909ea5f3f19056aa0b,drive:8b951d029006bb4fa10fbcfd958abf6e
drive_02,What is the Project Orion pilot status?,google_drive,bm25,1.0,0.8,1.0,1.0,2.5616,4,38.17,09 Pilot Status and Decisions,8060746ddc10fb06353168ddbcec09d7,drive:374f88d3618e49b5c94c56402e83ce70
drive_02,What is the Project Orion pilot status?,google_drive,semantic,1.0,1.0,1.0,1.0,2.9485,5,49.14,09 Pilot Status and Decisions,8060746ddc10fb06353168ddbcec09d7,drive:374f88d3618e49b5c94c56402e83ce70
drive_02,What is the Project Orion pilot status?,google_drive,hybrid,1.0,1.0,1.0,1.0,2.9485,5,46.0,09 Pilot Status and Decisions,8060746ddc10fb06353168ddbcec09d7,drive:374f88d3618e49b5c94c56402e83ce70
drive_03,What risks were identified for Project Orion?,google_drive,bm25,1.0,0.8,1.0,1.0,2.5616,4,40.83,06 Project Orion Risk Register,00328d01f2e876dd5d19b6fef3d5bad2,drive:e53ae7b4e9fa41c5eaf453c012c53d71
