query_id,query,source_filter,result_key,doc_id,parent_id,source,title,content_preview,seen_in_modes,best_rank,relevant
cross_01,What content discusses hybrid search architecture?,all,204096db18ac740d508705452ec59456,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea,google_drive,08 Hybrid Search Technical Architecture,"# Hybrid Search Architecture # Project Orion technical briefing # NOVASPHERE | SYNTHETIC TEST DATA # 01 End-to-end flow Google Drive -> Airbyte -> Python preprocessing -> Vespa feed -> Hybrid retrieval -> FastAPI -> Streamlit # Project Orion | Internal synthetic corpus # 02 Retrieval design # Sparse: Vespa BM25 # Dense: Snowflake Arctic Embed XS, 3...","bm25,hybrid,semantic",1,1
cross_01,What content discusses hybrid search architecture?,all,8c9052f6a10d85909ea5f3f19056aa0b,8c9052f6a10d85909ea5f3f19056aa0b,drive:8b951d029006bb4fa10fbcfd958abf6e,google_drive,01 Project Orion Implementation Plan,# Project Orion Implementation Plan # NovaSphere Enterprise Search Program | Version 1.3 | 18 August 2026 # Executive summary Project Orion connects Google Drive and Slack content to a Vespa-based hybrid search service. Airbyte is the ingestion medium for Google Drive. The production pilot begins 8 September 2026 and is owned by Priya Nair. The pil...,"hybrid,semantic",2,1
cross_01,What content discusses hybrid search architecture?,all,af59e840ef6d936592f0982dcb910166,af59e840ef6d936592f0982dcb910166,github:1933a5cab21cf891622980956ebf76ec,github,Document architecture and setup for Pinecone Native Hybrid RAG · HiteshAvula09/pinecone-native-hybrid-rag,"Document architecture and setup for Pinecone Native Hybrid RAG ## Description V2 of the enterprise hybrid RAG app, rebuilt to remove local ML dependencies. Uses Pinecone's hosted dense (llama-text-embed-v2) and sparse (pinecone-sparse-english-v0) models in a single hybrid index, fused via alpha weighting, with FastAPI serving retrieval + Groq-gener...","bm25,hybrid,semantic",2,1
cross_01,What content discusses hybrid search architecture?,all,03e1c6a0b65548b7895c1912f78a9cbf,03e1c6a0b65548b7895c1912f78a9cbf,drive:df23baedd6518561f688601f790d2227,google_drive,07 Project Orion Executive Overview,# Project Orion # Enterprise search pilot | Executive overview # NOVASPHERE | SYNTHETIC TEST DATA # 01 Why Orion Employees lose time searching across Drive and Slack. Orion unifies approved content through one hybrid search experience. # Project Orion | Internal synthetic corpus # 02 Pilot scope # Sources: Google Drive and Slack # Ingestion: Airbyt...,"bm25,hybrid,semantic",3,0
cross_01,What content discusses hybrid search architecture?,all,ae2494caf0f1e80912743e9211cec3af,ae2494caf0f1e80912743e9211cec3af,github:945104af87054046b80856f335304407,github,Commit 8b1d9a85 · HiteshAvula09/pinecone-native-hybrid-rag,Update README with V2 architecture and deployment,"bm25,hybrid",3,0
cross_01,What content discusses hybrid search architecture?,all,6da996c20f71fc7a181dcc0564128624,6da996c20f71fc7a181dcc0564128624,drive:9c86650d9fc7bfca942b0ba5ce5b1348,google_drive,03 Search Relevance Evaluation Guide,"# Search Relevance Evaluation Guide # Evaluation protocol | Benchmark set: ORION-QA-60 # Evaluation overview Evaluation is added after ingestion and retrieval are working, but the benchmark questions should be prepared before tuning. ORION-QA-60 contains 60 synthetic queries: 25 keyword, 25 semantic, and 10 cross-document questions. # Primary metri...",semantic,5,0
cross_01,What content discusses hybrid search architecture?,all,79d35804ae0a2417fb0caa049cc13e1c,79d35804ae0a2417fb0caa049cc13e1c,github:05a7d1b420dc5c42a9488ea624d5ea40,github,Commit 6fb02987 · HiteshAvula09/pinecone-native-hybrid-rag,Initial commit - Pinecone native hybrid RAG,bm25,5,0
drive_01,What is the Project Orion implementation plan?,google_drive,8c9052f6a10d85909ea5f3f19056aa0b,8c9052f6a10d85909ea5f3f19056aa0b,drive:8b951d029006bb4fa10fbcfd958abf6e,google_drive,01 Project Orion Implementation Plan,# Project Orion Implementation Plan # NovaSphere Enterprise Search Program | Version 1.3 | 18 August 2026 # Executive summary Project Orion connects Google Drive and Slack content to a Vespa-based hybrid search service. Airbyte is the ingestion medium for Google Drive. The production pilot begins 8 September 2026 and is owned by Priya Nair. The pil...,"bm25,hybrid,semantic",1,1
drive_01,What is the Project Orion implementation plan?,google_drive,6da996c20f71fc7a181dcc0564128624,6da996c20f71fc7a181dcc0564128624,drive:9c86650d9fc7bfca942b0ba5ce5b1348,google_drive,03 Search Relevance Evaluation Guide,"# Search Relevance Evaluation Guide # Evaluation protocol | Benchmark set: ORION-QA-60 # Evaluation overview Evaluation is added after ingestion and retrieval are working, but the benchmark questions should be prepared before tuning. ORION-QA-60 contains 60 synthetic queries: 25 keyword, 25 semantic, and 10 cross-document questions. # Primary metri...","hybrid,semantic",1,0
drive_01,What is the Project Orion implementation plan?,google_drive,03e1c6a0b65548b7895c1912f78a9cbf,03e1c6a0b65548b7895c1912f78a9cbf,drive:df23baedd6518561f688601f790d2227,google_drive,07 Project Orion Executive Overview,# Project Orion # Enterprise search pilot | Executive overview # NOVASPHERE | SYNTHETIC TEST DATA # 01 Why Orion Employees lose time searching across Drive and Slack. Orion unifies approved content through one hybrid search experience. # Project Orion | Internal synthetic corpus # 02 Pilot scope # Sources: Google Drive and Slack # Ingestion: Airbyt...,"bm25,hybrid,semantic",2,1
drive_01,What is the Project Orion implementation plan?,google_drive,00328d01f2e876dd5d19b6fef3d5bad2,00328d01f2e876dd5d19b6fef3d5bad2,drive:e53ae7b4e9fa41c5eaf453c012c53d71,google_drive,06 Project Orion Risk Register,"# Project Orion Risk Register # Review date 27 August 2026 | Risk owner: Daniel Kim # Current priority risks R-07: permission metadata may become stale after Drive folder moves; likelihood medium, impact high. R-11: scanned PDFs may produce empty text; likelihood high, impact medium. R-15: hybrid ranking weights may over-favor dense results; likeli...","bm25,hybrid,semantic",3,0
